work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,all_kudos
51980512,forgotten where it’s buried,['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Stuck in a Wall, Crack, Crack Treated Seriously, Anal Sex, Spit As Lube, Outdoor Sex, let valjean be confident and horny 2k23, Established Relationship, Post-Seine, Bottom Javert (Les Misérables), Humor, Old Married Couple, Kinktober 2023",English,2023-12-02,Completed,2023-12-02,"7,598",1/1,6,33,3,331,"['Elvy', 'lannisterz', 'ElectricEuphonium', 'besame', 'Lovely_Nightmares', 'AcaciaPycnantha', 'jdrewz', 'Jazmindulcecitlalic', 'Nabrah87', 'Dolphin_yearning_for_sky', 'M_Moonshade', 'thecuckoointhedephtsofthewoods', 'Kiradecep1914', 'Music_is_life_2788', 'MonaTheWriterIsHere', 'ifarali', 'HeartbreakTerrorBird', 'AlexKenmore', 'MoonyJulian', 'commonsense738', 'kanpohongchendeC', 'Augety_Whisper', 'Magnomast', 'CheWunYaVal']"
51932191,A Lesson on Braiding,['M_Moonshade'],Teen And Up Audiences,M/M,Les Misérables - All Media Types,Javert/Jean Valjean,"Javert (Les Misérables), Cosette Fauchelevent, Jean Valjean","Javert's long hair, everybody co-parents Cosette",English,2023-11-30,Completed,2023-11-30,"1,312",1/1,5,31,3,164,"['00Nightfall', 'AdorableDimples', 'dwellin', 'AshflameTheWaffle', 'GoT_boss', 'Charming_Ipomoea', 'Canberra', 'million_vermilion_watermelons', 'Akanague', 'HeartbreakTerrorBird', 'thecuckoointhedephtsofthewoods', 'camber', '0zzysaurus', 'aftershocked', 'Hello_there_bees', 'Readerofmuch', 'Xythia', 'AlexKenmore', 'AthenaGM', 'bran4ever', 'TheLifeOfEmm', 'Toorta', 'Jugglingroceryams', 'ifarali', 'Norian']"
51848284,Heat,['GoodbyeMoonmen'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Alternate Universe - Modern Setting, Plot What Plot/Porn Without Plot, Established Relationship, Drugged Sex, Drugged Javert, Car Sex, Anal Fingering, Blow Jobs, Valjean's wild imagination, Anal Sex",中文-普通话 國語,2023-11-26,Completed,2023-11-26,"5,642",1/1,2,11,1,189,"['Hazel_Z', 'Lannyg4', 'Dr_Iris', 'IbaraJin', 'Broasign', 'mariposawong', 'kanpohongchendeC', 'CheWunYaVal']"
51842293,【Valvert/冉沙】chain,['Seafoam_Pudding'],Mature,M/M,"Les Misérables - Victor Hugo, 悲惨世界, Les Misérables - All Media Types","Javert/Jean Valjean, 冉沙, Cosette Fauchelevent/Marius Pontmercy","Jean Valjean, Javert (Les Misérables), 冉阿让, 沙威, Original Characters, Chabouillet (Les Misérables), Eugène François Vidocq, Cosette Fauchelevent, Marius Pontmercy","Alpha/Beta/Omega Dynamics, Alpha!Valjean, Omega!Javert, I'm Sorry Victor Hugo, Sorry Not Sorry, Character Death Fix, Eventual Happy Ending, Javert Lives (Les Misérables), Jean Valjean Lives",中文-普通话 國語,2023-11-26,Updated,2023-12-09,"64,616",17/?,23,20,1,319,"['IbaraJin', 'Day_el', 'Aaltoooo', 'naggie_w', 'kanpohongchendeC', 'Dolphin_yearning_for_sky', 'Charliesseagrave', 'CheWunYaVal', 'Broasign', 'Lokitten']"
51826024,you require that no work is due,['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Rimming, Shameless Smut, Anal Fingering, Plot What Plot/Porn Without Plot, pure filth!, Established Relationship, Old Married Couple, Post-Seine, Kinktober 2023, Bottom Javert (Les Misérables)",English,2023-11-25,Completed,2023-11-25,"4,858",1/1,6,28,2,280,"['3benjamins', 'mariposawong', 'TheMotherland', 'jdrewz', 'Nabrah87', 'AthenaGM', 'Shenno', 'TheLifeOfEmm', 'Lokitten', 'thecuckoointhedephtsofthewoods', 'CheWunYaVal', 'deathbywikipedia', 'Jougetsu', 'fra12', 'HeartbreakTerrorBird', 'Music_is_life_2788', 'kanpohongchendeC', 'ifarali', 'M_Moonshade', 'AlexKenmore', 'Magnomast', 'MoonyJulian']"
51811381,An unexpected snag,['M_Moonshade'],Mature,M/M,Les Misérables - All Media Types,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Javert POV, Established Relationship, light bondage (attempted), Blood, protective valjean, protective Javert, it started silly and it's going somewhere else, the return of serum!Javert",English,2023-11-24,Updated,2023-12-15,"9,955",4/?,12,22,1,367,"['2cupsoftea', 'VV2006', 'bunnyfication', 'Canberra', 'Toorta', 'Readerofmuch', 'dwellin', 'deathbywikipedia', 'camber', 'Augety_Whisper', 'thegreatgaygay', 'theonlytwin', 'aftershocked', '0zzysaurus', 'thecuckoointhedephtsofthewoods', 'kanpohongchendeC', 'AlexKenmore', 'ifarali']"
51801544,Man like You Can Never Change!,['GoodbyeMoonmen'],Mature,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo",Javert/Jean Valjean,"Jean Valjean, Javert (Les Misérables)","Plot What Plot/Porn Without Plot, Alternate Universe - Modern Setting, Established Relationship, Creampie",中文-普通话 國語,2023-11-24,Completed,2023-11-24,"1,615",1/1,6,25,3,208,"['Love_Frenchie', 'Lannyg4', 'Dr_Iris', 'mariposawong', 'kanpohongchendeC', 'Broasign', 'IbaraJin', 'aftershocked', '3lys3', 'CheWunYaVal', 'ranaranggongmin', 'Dolphin_yearning_for_sky', '0zzysaurus', 'AlexKenmore', 'Alexandra_Ace_Dorothy', 'Rien625125']"
51758689,A Letter from Toulon,['magdalenapie'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Schönberg/Boublil, Les Misérables - Victor Hugo","Javert/Marius Pontmercy, javert/jean valjean (implied)","Javert (Les Misérables), Marius Pontmercy","100 Drabble Challenge, Hand Jobs, Brick/Musical Hybrid, Les Mis Rare Pair, no beta we drown in the seine",English,2023-11-22,Completed,2023-11-22,100,1/1,1,4,1,50,"['aftershocked', 'Croissant256', '0zzysaurus']"
51753235,"hallelujah, praise every star-crossed kid",['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Heartbeat Kink, Hand Jobs, Outdoor Sex, Fluff, Old Married Couple, Post-Seine, Romance, Kinktober 2023, Established Relationship",English,2023-11-22,Completed,2023-11-22,"3,300",1/1,6,24,5,319,"['Nabrah87', 'Lokitten', 'TheLifeOfEmm', 'Abigail_Hannigram', 'bryns', 'Fanastixx', 'MoonyJulian', 'Verin2000', 'M_Moonshade', 'thecuckoointhedephtsofthewoods', 'Augety_Whisper', 'Music_is_life_2788', 'HeartbreakTerrorBird', 'AlexKenmore', 'kanpohongchendeC', 'ifarali']"
51713452,He cares about your lonely souls,[],Teen And Up Audiences,M/M,Les Misérables - All Media Types,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean, Marius Pontmercy","Minor Cosette Fauchelevent/Marius Pontmercy, Awkward Marius Pontmercy",English,2023-11-20,Completed,2023-11-20,"1,962",1/1,8,24,3,192,"['modernmiserable', 'ElectricEuphonium', 'Akanague', 'CheWunYaVal', 'Xythia', 'kanpohongchendeC', 'PrincessCora23', 'bryns', 'MoonyJulian', 'Fanastixx', '0zzysaurus', 'AlexKenmore', 'Toorta', 'thecuckoointhedephtsofthewoods', 'HeartbreakTerrorBird', 'M_Moonshade']"
